speaker,speech_len
RADOMIR LAZOVIĆ,133
ANA BRNABIĆ,40
RADOMIR LAZOVIĆ,66
ANA BRNABIĆ,108
RADOMIR LAZOVIĆ,102
ANA BRNABIĆ,25
BORKO STEFANOVIĆ,4165
ANA BRNABIĆ,826
ANA BRNABIĆ,1366
RADOMIR LAZOVIĆ,16
ANA BRNABIĆ,844
RADOMIR LAZOVIĆ,12
ANA BRNABIĆ,6056
SNEŽANA PAUNOVIĆ,2685
MILIJA MILETIĆ,4398
SNEŽANA PAUNOVIĆ,319
GORAN PETKOVIĆ,998
ALEKSANDAR JOVANOVIĆ,57
SNEŽANA PAUNOVIĆ,77
ALEKSANDAR JOVANOVIĆ,20
ANA BRNABIĆ,21
GORAN PETKOVIĆ,927
SNEŽANA PAUNOVIĆ,45
ROBERT KOZMA,4691
SNEŽANA PAUNOVIĆ,28
ANA IVANOVIĆ,1083
SNEŽANA PAUNOVIĆ,33
DRAGANA RAKIĆ,3985
SNEŽANA PAUNOVIĆ,88
SLOBODAN PETROVIĆ,1718
SNEŽANA PAUNOVIĆ,53
SLAĐANA RADISAVLJEVIĆ,3980
SNEŽANA PAUNOVIĆ,70
ĐORĐE STANKOVIĆ,1626
SNEŽANA PAUNOVIĆ,66
ĐORĐE STANKOVIĆ,2202
SNEŽANA PAUNOVIĆ,258
MARINIKA TEPIĆ,3584
SNEŽANA PAUNOVIĆ,45
ALEKSANDAR MIRKOVIĆ,904
SNEŽANA PAUNOVIĆ,48
ALEKSANDAR JOVANOVIĆ,20
ALEKSANDAR MIRKOVIĆ,3924
SNEŽANA PAUNOVIĆ,24
RADOMIR LAZOVIĆ,10
SNEŽANA PAUNOVIĆ,19086
RADOMIR LAZOVIĆ,870
SNEŽANA PAUNOVIĆ,417
DUŠAN RADOSAVLJEVIĆ,573
SNEŽANA PAUNOVIĆ,362
MILOŠ VUČEVIĆ,9989
ANA BRNABIĆ,126
ALEKSANDAR JOVANOVIĆ,6
ANA BRNABIĆ,186
ALEKSANDAR JOVANOVIĆ,25
ANA BRNABIĆ,331
MILICA NIKOLIĆ,2590
ANA BRNABIĆ,55
ALEKSANDAR MARKOVIĆ,3702
ANA BRNABIĆ,80
VEROLJUB ARSIĆ,3240
ANA BRNABIĆ,126
ALEKSANDAR JOVANOVIĆ,1248
ANA BRNABIĆ,122
ALEKSANDAR JOVANOVIĆ,128
ANA BRNABIĆ,169
ALEKSANDAR JOVANOVIĆ,68
ANA BRNABIĆ,359
ALEKSANDAR JOVANOVIĆ,573
ANA BRNABIĆ,58
ALEKSANDAR JOVANOVIĆ,44
ANA BRNABIĆ,62
ALEKSANDAR JOVANOVIĆ,4586
ANA BRNABIĆ,62
MILIMIR VUJADINOVIĆ,711
ANA BRNABIĆ,115
MILIMIR VUJADINOVIĆ,22
ANA BRNABIĆ,1244
RADOMIR LAZOVIĆ,1144
ANA BRNABIĆ,60
RADOMIR LAZOVIĆ,72
ANA BRNABIĆ,798
MILENKO JOVANOV,2391
ANA BRNABIĆ,157
SNEŽANA PAUNOVIĆ,1877
ANA BRNABIĆ,51
ALEKSANDAR JOVANOVIĆ,21
ANA BRNABIĆ,271
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,3809
ANA BRNABIĆ,42
ŽIVOTA STARČEVIĆ,13159
ANA BRNABIĆ,62
JELENA PAVLOVIĆ,14647
ANA BRNABIĆ,1396
SINIŠA MALI,6323
ANA BRNABIĆ,199
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,8166
ANA BRNABIĆ,72
MARINIKA TEPIĆ,1905
ANA BRNABIĆ,584
BORISLAV NOVAKOVIĆ,1753
ANA BRNABIĆ,1150
JELENA PAVLOVIĆ,29
ANA BRNABIĆ,29
JELENA PAVLOVIĆ,63
ANA BRNABIĆ,44
JELENA PAVLOVIĆ,8
ANA BRNABIĆ,205
JELENA PAVLOVIĆ,39
ANA BRNABIĆ,60
BALINT PASTOR,10554
ANA BRNABIĆ,82
ZORAN LUTOVAC,9734
ANA BRNABIĆ,51
MILENKO JOVANOV,2419
ANA BRNABIĆ,57
MILOŠ VUČEVIĆ,7734
ANA BRNABIĆ,89
ZORAN LUTOVAC,1777
ANA BRNABIĆ,49
ALEKSANDAR MARTINOVIĆ,3505
ANA BRNABIĆ,114
ĐORĐE STANKOVIĆ,89
ANA BRNABIĆ,31
ĐORĐE STANKOVIĆ,649
ANA BRNABIĆ,56
ZORAN LUTOVAC,23
ANA BRNABIĆ,54
ZORAN LUTOVAC,189
ANA BRNABIĆ,1757
DEJAN BULATOVIĆ,263
ANA BRNABIĆ,36
DEJAN BULATOVIĆ,1081
ANA BRNABIĆ,131
ŽELJKO VESELINOVIĆ,2129
ANA BRNABIĆ,64
ĐORĐE KOMLENSKI,5885
ANA BRNABIĆ,55
RISTO KOSTOV,4703
MARINA RAGUŠ,113
SINIŠA LJEPOJEVIĆ,7176
ANA BRNABIĆ,60
ZDRAVKO PONOŠ,16311
ANA BRNABIĆ,960
ĐORĐE KOMLENSKI,1989
ANA BRNABIĆ,469
MILENKO JOVANOV,1985
ANA BRNABIĆ,66
ZDRAVKO PONOŠ,376
ANA BRNABIĆ,491
ZDRAVKO PONOŠ,40
ANA BRNABIĆ,103
ZDRAVKO PONOŠ,29
ANA BRNABIĆ,85
ZDRAVKO PONOŠ,1113
ANA BRNABIĆ,35
MILENKO JOVANOV,1658
ANA BRNABIĆ,176
ZDRAVKO PONOŠ,60
ANA BRNABIĆ,126
ZDRAVKO PONOŠ,260
ANA BRNABIĆ,506
IVICA DAČIĆ,8497
ANA BRNABIĆ,62
ALEKSANDAR JOVANOVIĆ,1015
ANA BRNABIĆ,160
ALEKSANDAR VULIN,6941
ANA BRNABIĆ,33
NIKOLA SELAKOVIĆ,4067
ANA BRNABIĆ,56
MILOŠ VUČEVIĆ,4984
ANA BRNABIĆ,272
MARINA RAGUŠ,1228
ŽARKO RISTIĆ,88
MARINA RAGUŠ,93
ALEKSANDAR IVANOVIĆ,2453
MARINA RAGUŠ,70
JORGOVANKA TABAKOVIĆ,133
MARINA RAGUŠ,461
SLAVICA RADOVANOVIĆ,912
MARINA RAGUŠ,119
SLAVICA RADOVANOVIĆ,66
MARINA RAGUŠ,253
SLAVICA RADOVANOVIĆ,103
MARINA RAGUŠ,411
SLAVICA RADOVANOVIĆ,424
MARINA RAGUŠ,217
SLAVICA RADOVANOVIĆ,531
MARINA RAGUŠ,363
MARIJAN RISTIČEVIĆ,67
SLAVICA RADOVANOVIĆ,135
MARINA RAGUŠ,108
SLAVICA RADOVANOVIĆ,36
MARINA RAGUŠ,72
SLAVICA RADOVANOVIĆ,53
MARINA RAGUŠ,526
ANA BRNABIĆ,57
MARIJAN RISTIČEVIĆ,1944
ANA BRNABIĆ,284
JORGOVANKA TABAKOVIĆ,532
ANA BRNABIĆ,493
ANA JAKOVLJEVIĆ,2677
ANA BRNABIĆ,53
JORGOVANKA TABAKOVIĆ,1345
ANA BRNABIĆ,59
MIROSLAV ALEKSIĆ,3950
ANA BRNABIĆ,206
MIROSLAV ALEKSIĆ,127
ANA BRNABIĆ,102
MIROSLAV ALEKSIĆ,6243
ANA BRNABIĆ,1616
ĐORĐE PAVIĆEVIĆ,17
ANA BRNABIĆ,266
MILENKO JOVANOV,4754
ANA BRNABIĆ,35
MIROSLAV ALEKSIĆ,2551
ANA BRNABIĆ,409
MILENKO JOVANOV,2097
ANA BRNABIĆ,51
MIROSLAV ALEKSIĆ,20
ANA BRNABIĆ,21
MIROSLAV ALEKSIĆ,1989
ANA BRNABIĆ,34
MIROSLAV ALEKSIĆ,408
ANA BRNABIĆ,31
MILENKO JOVANOV,2355
ANA BRNABIĆ,49
ALEKSANDAR MARTINOVIĆ,10323
SNEŽANA PAUNOVIĆ,297
ZORAN LUTOVAC,203
SNEŽANA PAUNOVIĆ,55
ZORAN LUTOVAC,698
SNEŽANA PAUNOVIĆ,501
MARINIKA TEPIĆ,10
SNEŽANA PAUNOVIĆ,264
ZORAN LUTOVAC,3
SNEŽANA PAUNOVIĆ,59
MILOŠ PARANDILOVIĆ,447
SNEŽANA PAUNOVIĆ,50
MILOŠ PARANDILOVIĆ,62
SNEŽANA PAUNOVIĆ,65
MILOŠ PARANDILOVIĆ,664
SNEŽANA PAUNOVIĆ,420
MILOŠ PARANDILOVIĆ,3
SNEŽANA PAUNOVIĆ,64
MARINIKA TEPIĆ,796
SNEŽANA PAUNOVIĆ,39
MARINIKA TEPIĆ,176
SNEŽANA PAUNOVIĆ,91
MILOŠ PARANDILOVIĆ,3
SNEŽANA PAUNOVIĆ,40
SONJA PERNAT,36
SNEŽANA PAUNOVIĆ,24
SONJA PERNAT,429
SONJA PERNAT,103
SNEŽANA PAUNOVIĆ,77
MIROSLAV ALEKSIĆ,2037
SNEŽANA PAUNOVIĆ,42
MARINIKA TEPIĆ,1392
SNEŽANA PAUNOVIĆ,346
MILOŠ PARANDILOVIĆ,1350
SNEŽANA PAUNOVIĆ,368
MILOŠ PARANDILOVIĆ,15
SNEŽANA PAUNOVIĆ,135
ALEKSANDAR JOVANOVIĆ,64
SNEŽANA PAUNOVIĆ,27
ALEKSANDAR JOVANOVIĆ,31
SNEŽANA PAUNOVIĆ,27
ALEKSANDAR JOVANOVIĆ,33
SNEŽANA PAUNOVIĆ,26
ALEKSANDAR JOVANOVIĆ,240
SNEŽANA PAUNOVIĆ,42
ALEKSANDAR JOVANOVIĆ,167
SNEŽANA PAUNOVIĆ,3290
JORGOVANKA TABAKOVIĆ,1016
SNEŽANA PAUNOVIĆ,1232
JELENA SPIRIĆ,934
SNEŽANA PAUNOVIĆ,85
JELENA SPIRIĆ,425
SNEŽANA PAUNOVIĆ,46
JELENA SPIRIĆ,5
SNEŽANA PAUNOVIĆ,44
JELENA SPIRIĆ,86
SNEŽANA PAUNOVIĆ,525
MARINIKA TEPIĆ,28
SNEŽANA PAUNOVIĆ,202
JELENA SPIRIĆ,4717
SNEŽANA PAUNOVIĆ,122
MARINIKA TEPIĆ,155
SNEŽANA PAUNOVIĆ,64
MARINIKA TEPIĆ,8
SNEŽANA PAUNOVIĆ,103
SNEŽANA PAUNOVIĆ,1071
SNEŽANA PAUNOVIĆ,791
TIJANA PERIĆ DILIGENSKI,1645
SNEŽANA PAUNOVIĆ,52
TIJANA PERIĆ DILIGENSKI,115
SNEŽANA PAUNOVIĆ,32
TIJANA PERIĆ DILIGENSKI,1862
SNEŽANA PAUNOVIĆ,60
TIJANA PERIĆ DILIGENSKI,52
SNEŽANA PAUNOVIĆ,164
TIJANA PERIĆ DILIGENSKI,68
SNEŽANA PAUNOVIĆ,403
TIJANA PERIĆ DILIGENSKI,149
SNEŽANA PAUNOVIĆ,51
RADOMIR LAZOVIĆ,7532
ANA BRNABIĆ,66
MILICA MARUŠIĆ JABLANOVIĆ,2523
ANA BRNABIĆ,351
BORISLAV NOVAKOVIĆ,1850
ANA BRNABIĆ,206
MILENKO JOVANOV,639
ANA BRNABIĆ,38
ALEKSANDAR MARTINOVIĆ,3870
ANA BRNABIĆ,34
NENAD MITROVIĆ,1267
ANA BRNABIĆ,348
NATALIJA STOJMENOVIĆ,1661
ANA BRNABIĆ,38
NATALIJA STOJMENOVIĆ,75
ANA BRNABIĆ,35
NATALIJA STOJMENOVIĆ,19
ANA BRNABIĆ,150
NATALIJA STOJMENOVIĆ,147
ANA BRNABIĆ,28
NATALIJA STOJMENOVIĆ,130
ANA BRNABIĆ,16
NATALIJA STOJMENOVIĆ,336
ANA BRNABIĆ,129
MARIJAN RISTIČEVIĆ,2532
ANA BRNABIĆ,233
NATALIJA STOJMENOVIĆ,1153
ANA BRNABIĆ,293
VLADIMIR ĐUKANOVIĆ,2679
ANA BRNABIĆ,38
BRANKO LUKIĆ,1360
ANA BRNABIĆ,43
DUŠAN NIKEZIĆ,2970
ANA BRNABIĆ,37
DUŠAN NIKEZIĆ,157
ANA BRNABIĆ,264
SLOBODAN ILIĆ,2702
ANA BRNABIĆ,40
MILENKO JOVANOV,346
ANA BRNABIĆ,40
NOVICA TONČEV,1918
ANA BRNABIĆ,44
VLADIMIR ĐUKANOVIĆ,1718
ANA BRNABIĆ,40
MILIJA MILETIĆ,4516
ANA BRNABIĆ,146
DRAGANA RAKIĆ,1952
ANA BRNABIĆ,57
SLAĐANA RADISAVLJEVIĆ,2877
ANA BRNABIĆ,1035
BORKO STEFANOVIĆ,2389
ANA BRNABIĆ,76
BORKO STEFANOVIĆ,25
ANA BRNABIĆ,48
NEMANJA STAROVIĆ,3600
ANA BRNABIĆ,56
NENAD MITROVIĆ,1217
ANA BRNABIĆ,24
SLAĐANA MILETIĆ,3417
SNEŽANA PAUNOVIĆ,50
UROŠ ĐOKIĆ,1983
SNEŽANA PAUNOVIĆ,48
NOVICA TONČEV,1610
SNEŽANA PAUNOVIĆ,16
SLAĐANA MILETIĆ,8
SNEŽANA PAUNOVIĆ,319
DRAGANA RAKIĆ,3515
SNEŽANA PAUNOVIĆ,49
SLOBODAN PETROVIĆ,239
SLAĐANA MILETIĆ,16
SNEŽANA PAUNOVIĆ,396
SLOBODAN PETROVIĆ,3568
MARINA RAGUŠ,58
SLAĐANA MILETIĆ,687
MARINA RAGUŠ,26
NOVICA TONČEV,1408
MARINA RAGUŠ,543
MILOŠ PARANDILOVIĆ,2443
MARINA RAGUŠ,95
VLADIMIR ĐUKANOVIĆ,931
MARINA RAGUŠ,47
MILENKO JOVANOV,486
MARINA RAGUŠ,38
MILOŠ PARANDILOVIĆ,17
MARINA RAGUŠ,86
MILOŠ PARANDILOVIĆ,2094
MARINA RAGUŠ,430
VLADIMIR ĐUKANOVIĆ,1179
MILOŠ PARANDILOVIĆ,8
MARINA RAGUŠ,27
MILENKO JOVANOV,171
BORISLAV NOVAKOVIĆ,19
DRAGANA RAKIĆ,19
MARINA RAGUŠ,357
MARINA MIJATOVIĆ,1638
MARINA RAGUŠ,87
BORISLAV NOVAKOVIĆ,1000
MARINA RAGUŠ,418
MILOŠ PARANDILOVIĆ,8
MARINA RAGUŠ,2071
TATJANA MARKOVIĆ TOPALOVIĆ,1300
MARINA RAGUŠ,60
DRAGANA RAKIĆ,2233
MARINA RAGUŠ,40
MILENKO JOVANOV,493
MARINA RAGUŠ,82
BORISLAV NOVAKOVIĆ,1588
MARINA RAGUŠ,543
MILENKO JOVANOV,2492
MARINA RAGUŠ,64
BORISLAV NOVAKOVIĆ,1694
MARINA RAGUŠ,79
MILENKO JOVANOV,326
MARINA RAGUŠ,350
NENAD FILIPOVIĆ,5742
MARINA RAGUŠ,42
NENAD FILIPOVIĆ,758
MARINA RAGUŠ,118
SLOBODAN ILIĆ,1323
MARINA RAGUŠ,315
NENAD MITROVIĆ,1219
MARINA RAGUŠ,2052
MARINA RAGUŠ,35
DRAGANA RAKIĆ,1428
MARINA RAGUŠ,48
DRAGAN NINKOVIĆ,1588
MARINA RAGUŠ,296
NENAD MITROVIĆ,1157
MARINA RAGUŠ,386
ANA JAKOVLJEVIĆ,2101
MARINA RAGUŠ,177
BORISLAV NOVAKOVIĆ,28
MARINA RAGUŠ,70
ALEKSANDAR MARTINOVIĆ,4289
MARINA RAGUŠ,1248
TATJANA MARKOVIĆ TOPALOVIĆ,1656
MARINA RAGUŠ,69
DRAGAN NINKOVIĆ,1621
MARINA RAGUŠ,54
SLAĐANA RADISAVLJEVIĆ,2107
MARINA RAGUŠ,59
ALEKSANDAR MARTINOVIĆ,6492
MARINA RAGUŠ,90
DRAGANA RAKIĆ,3043
MARINA RAGUŠ,125
SLAĐANA RADISAVLJEVIĆ,822
MARINA RAGUŠ,30
ALEKSANDAR MARTINOVIĆ,1143
DRAGANA RAKIĆ,80
MARINA RAGUŠ,747
NENAD MITROVIĆ,1261
MARINA RAGUŠ,679
TATJANA MARKOVIĆ TOPALOVIĆ,972
MARINA RAGUŠ,129
TATJANA MARKOVIĆ TOPALOVIĆ,594
MARINA RAGUŠ,108
ANA JAKOVLJEVIĆ,1691
MARINA RAGUŠ,49
SNEŽANA PAUNOVIĆ,5442
MARINA RAGUŠ,333
NENAD MITROVIĆ,1184
MARINA RAGUŠ,405
MILOŠ PARANDILOVIĆ,1862
MARINA RAGUŠ,1152
UROŠ ĐOKIĆ,1732
MARINA RAGUŠ,211
NENAD MITROVIĆ,883
ANA BRNABIĆ,34
MARIJA JEVĐIĆ,6714
ANA BRNABIĆ,47
MIROSLAV PETRAŠINOVIĆ,2144
ANA BRNABIĆ,368
DRAGANA RAKIĆ,2224
ANA BRNABIĆ,201
NENAD MITROVIĆ,1451
ANA BRNABIĆ,290
BORISLAV NOVAKOVIĆ,1676
ANA BRNABIĆ,618
ANA BRNABIĆ,59650
MARINA RAGUŠ,17483
ANA BRNABIĆ,1037
MARINA RAGUŠ,949
ALEKSANDAR JOVANOVIĆ,3641
MARINA RAGUŠ,783
MARIJA JEVĐIĆ,5023
MARINA RAGUŠ,76
LJUBINKO ĐURKOVIĆ,3030
MARINA RAGUŠ,115
NENAD MITROVIĆ,3528
MARINA RAGUŠ,56
ANA IVANOVIĆ,1010
MARINA RAGUŠ,71
ĐORĐE KOMLENSKI,844
MARINA RAGUŠ,97
TATJANA MARKOVIĆ TOPALOVIĆ,3975
MARINA RAGUŠ,218
RASTISLAV DINIĆ,3275
MARINA RAGUŠ,65
UROŠ ĐOKIĆ,5139
MARINA RAGUŠ,379
DUŠAN NIKEZIĆ,3554
MARINA RAGUŠ,42
ŽIVAN BAJIĆ,5591
MARINA RAGUŠ,1590
UROŠ ĐOKIĆ,2278
MARINA RAGUŠ,115
RADOMIR LAZOVIĆ,2671
MARINA RAGUŠ,108
DALIBOR JEKIĆ,1640
MARINA RAGUŠ,57
MILICA MARUŠIĆ JABLANOVIĆ,3309
MARINA RAGUŠ,101
VLADIMIR ĐORĐEVIĆ,1215
MARINA RAGUŠ,68
BRANKO LUKIĆ,2269
MARINA RAGUŠ,87
UGLJEŠA MRDIĆ,4534
MARINA RAGUŠ,50
RADOMIR LAZOVIĆ,1382
MARINA RAGUŠ,470
ZORAN LUTOVAC,277
MARINA RAGUŠ,95
NEMANJA STAROVIĆ,3431
MARINA RAGUŠ,274
VLADIMIR PAJIĆ,1368
MARINA RAGUŠ,68
ALEKSANDAR MARKOVIĆ,5170
MARINA RAGUŠ,280
DALIBOR JEKIĆ,437
MARINA RAGUŠ,64
DALIBOR JEKIĆ,3
MARINA RAGUŠ,576
SELMA KUČEVIĆ,3101
ANA BRNABIĆ,68
RADOMIR LAZOVIĆ,6594
ANA BRNABIĆ,40
MILENKO JOVANOV,336
RADOMIR LAZOVIĆ,16
MILENKO JOVANOV,1533
ALEKSANDAR JOVANOVIĆ,24
MILENKO JOVANOV,164
ALEKSANDAR JOVANOVIĆ,19
MILENKO JOVANOV,511
ANA BRNABIĆ,60
ALEKSANDAR JOVANOVIĆ,949
ANA BRNABIĆ,161
MILENKO JOVANOV,3483
ANA BRNABIĆ,68
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,7673
ANA BRNABIĆ,45
DEJAN BULATOVIĆ,6809
ANA BRNABIĆ,44
ZORAN LUTOVAC,522
ANA BRNABIĆ,35
ZORAN LUTOVAC,3
ANA BRNABIĆ,579
ALEKSANDAR JOVANOVIĆ,3780
ANA BRNABIĆ,43
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,4836
ANA BRNABIĆ,366
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,3291
ANA BRNABIĆ,45
BRANKO LUKIĆ,3700
ANA BRNABIĆ,64
BRANKO LUKIĆ,42
ANA BRNABIĆ,180
BRANKO LUKIĆ,51
ANA BRNABIĆ,326
BRANKO LUKIĆ,172
ANA BRNABIĆ,142
BRANKO LUKIĆ,544
ANA BRNABIĆ,476
BRANKO LUKIĆ,1611
ANA BRNABIĆ,38
ALEKSANDAR JOVANOVIĆ,86
ANA BRNABIĆ,15
ALEKSANDAR JOVANOVIĆ,19
ANA BRNABIĆ,85
ALEKSANDAR JOVANOVIĆ,984
ANA BRNABIĆ,167
MILENKO JOVANOV,1741
ANA BRNABIĆ,53
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,63
ANA BRNABIĆ,53
BRANKO LUKIĆ,29
ANA BRNABIĆ,100
BRANKO LUKIĆ,266
ANA BRNABIĆ,33
BRANKO LUKIĆ,25
ANA BRNABIĆ,43
BRANKO LUKIĆ,288
ANA BRNABIĆ,40
BRANKO LUKIĆ,246
ANA BRNABIĆ,27
BRANKO LUKIĆ,335
ANA BRNABIĆ,396
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,2759
ANA BRNABIĆ,58
MARINIKA TEPIĆ,8094
ANA BRNABIĆ,82
DEJAN BULATOVIĆ,414
ANA BRNABIĆ,127
MILENKO JOVANOV,1075
ANA BRNABIĆ,38
IRENA VUJOVIĆ,4211
ANA BRNABIĆ,334
MARINIKA TEPIĆ,2772
ANA BRNABIĆ,284
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,6281
MARINA RAGUŠ,260
MARIJAN RISTIČEVIĆ,2780
MARINA RAGUŠ,54
ALEKSANDAR JOVANOVIĆ,1785
MARINA RAGUŠ,39
MARIJAN RISTIČEVIĆ,1621
MARINA RAGUŠ,48
VLADIMIR ĐUKANOVIĆ,1678
MARINA RAGUŠ,62
MARINIKA TEPIĆ,1623
MARINA RAGUŠ,358
DRAGANA RAKIĆ,2082
MARINA RAGUŠ,28
ĐORĐE PAVIĆEVIĆ,3021
MARINA RAGUŠ,101
ĐORĐE PAVIĆEVIĆ,3
MARINA RAGUŠ,362
ZORAN LUTOVAC,3431
MARINA RAGUŠ,167
MARIJAN RISTIČEVIĆ,1680
MARINA RAGUŠ,49
DUBRAVKA ĐEDOVIĆ HANDANOVIĆ,3978
MARINIKA TEPIĆ,8
MARINA RAGUŠ,36
MARINIKA TEPIĆ,72
MARINA RAGUŠ,103
ŽIVAN BAJIĆ,12
MARINA RAGUŠ,249
MARINA RAGUŠ,990
TIJANA PERIĆ DILIGENSKI,1289
MARINA RAGUŠ,61
JELENA MILOŠEVIĆ,1467
MARINA RAGUŠ,36
DRAGAN JONIĆ,1494
MARINA RAGUŠ,63
SNEŽANA RAKIĆ,1903
MARINA RAGUŠ,61
ŽIVAN BAJIĆ,3172
MARINA RAGUŠ,67
ALEKSANDAR PAVIĆ,2007
MARINA RAGUŠ,44
MILENKO JOVANOV,862
MARINA RAGUŠ,35
ALEKSANDAR PAVIĆ,619
MARINA RAGUŠ,78
MILENKO JOVANOV,592
MARINA RAGUŠ,45
TOMISLAV ŽIGMANOV,2851
MARINA RAGUŠ,300
MARIJAN RISTIČEVIĆ,109
ALEKSANDAR JOVANOVIĆ,6
MARIJAN RISTIČEVIĆ,2631
MARINA RAGUŠ,62
ALEKSANDAR JOVANOVIĆ,558
MARINA RAGUŠ,605
DRAGANA RAKIĆ,2531
MARINA RAGUŠ,347
ZORAN LUTOVAC,1388
MARINA RAGUŠ,471
MILENKO JOVANOV,927
MARINA RAGUŠ,412
BOGDAN RADOVANOVIĆ,1038
MARINA RAGUŠ,83
BOGDAN RADOVANOVIĆ,41
MARINA RAGUŠ,136
BOGDAN RADOVANOVIĆ,10
MARINA RAGUŠ,31
BOGDAN RADOVANOVIĆ,1501
MARINA RAGUŠ,146
NEMANJA STAROVIĆ,2117
MARINA RAGUŠ,1745
ANA ERAKOVIĆ,772
MARINA RAGUŠ,51
SLOBODAN PETROVIĆ,1241
MARINA RAGUŠ,55
FILIP TATALOVIĆ,2722
MARINA RAGUŠ,394
MARIJAN RISTIČEVIĆ,1390
MARINA RAGUŠ,417
FILIP TATALOVIĆ,1082
MARINA RAGUŠ,61
NATAŠA JOVANOVIĆ,5181
MARINA RAGUŠ,392
FILIP TATALOVIĆ,810
MARINA RAGUŠ,485
MARINA MIJATOVIĆ,1472
MARINA RAGUŠ,389
SLAVICA RADOVANOVIĆ,1735
MARINA RAGUŠ,354
DRAGANA RAKIĆ,1904
MARINA RAGUŠ,490
DRAGANA RAKIĆ,923
MARINA RAGUŠ,71
SLOBODAN PETROVIĆ,734
MARINA RAGUŠ,240
MARIJAN RISTIČEVIĆ,1071
MARINA RAGUŠ,280
FILIP TATALOVIĆ,1190
MARINA RAGUŠ,646
SLAVICA RADOVANOVIĆ,2993
MARINA RAGUŠ,63
SLAVICA RADOVANOVIĆ,17
MARINA RAGUŠ,316
DRAGAN STANOJEVIĆ,1810
MARINA RAGUŠ,959
SLOBODAN PETROVIĆ,424
MARINA RAGUŠ,291
SLAVICA RADOVANOVIĆ,1998
MARINA RAGUŠ,587
MARIJAN RISTIČEVIĆ,835
MARINA RAGUŠ,49
FILIP TATALOVIĆ,402
MARINA RAGUŠ,219
DRAGANA RAKIĆ,1587
MARINA RAGUŠ,653
MARINA MIJATOVIĆ,596
MARINA RAGUŠ,340
SLOBODAN PETROVIĆ,841
MARINA RAGUŠ,266
MARIJAN RISTIČEVIĆ,1176
MARINA RAGUŠ,587
SLOBODAN PETROVIĆ,875
MARINA RAGUŠ,43
SNEŽANA PAUNOVIĆ,155
MARINA RAGUŠ,118
SNEŽANA PAUNOVIĆ,5105
MARINA RAGUŠ,393
SLOBODAN PETROVIĆ,535
MARINA RAGUŠ,141
SLAVICA RADOVANOVIĆ,2986
MARINA RAGUŠ,35
SNEŽANA PAUNOVIĆ,1624
MARINA RAGUŠ,160
SLAVICA RADOVANOVIĆ,1717
MARINA RAGUŠ,141
SNEŽANA PAUNOVIĆ,2763
SLAVICA RADOVANOVIĆ,1522
MARINA RAGUŠ,32
MILENKO JOVANOV,914
MARINA RAGUŠ,1253
MARIJAN RISTIČEVIĆ,2417
PEĐA MITROVIĆ,10
MARINA RAGUŠ,406
PEĐA MITROVIĆ,578
MARINA RAGUŠ,46
ŽARKO RISTIĆ,2243
MARINA RAGUŠ,688
ALEKSANDAR IVANOVIĆ,1230
MARINA RAGUŠ,220
MARIJAN RISTIČEVIĆ,1357
MARINA RAGUŠ,285
PEĐA MITROVIĆ,16
MARINA RAGUŠ,16
PEĐA MITROVIĆ,53
MARINA RAGUŠ,69
PEĐA MITROVIĆ,15
MARINA RAGUŠ,20
PEĐA MITROVIĆ,340
MARINA RAGUŠ,69
ALEKSANDAR IVANOVIĆ,743
MARINA RAGUŠ,571
UROŠ ĐOKIĆ,1662
MARINA RAGUŠ,72
JORGOVANKA TABAKOVIĆ,4776
MARINA RAGUŠ,45
DRAGANA RAKIĆ,22
MARINA RAGUŠ,85
DRAGANA RAKIĆ,6
MARINA RAGUŠ,183
JORGOVANKA TABAKOVIĆ,4516
MARINA RAGUŠ,154
ANA BRNABIĆ,868
ALEKSANDAR IVANOVIĆ,4235
ANA BRNABIĆ,24
MILENKO JOVANOV,1263
ANA BRNABIĆ,40
RADOMIR LAZOVIĆ,512
ANA BRNABIĆ,61
IRENA VUJOVIĆ,3598
ANA BRNABIĆ,59
ALEKSANDAR JOVANOVIĆ,139
ANA BRNABIĆ,187
DRAGANA RAKIĆ,7338
ANA BRNABIĆ,50
DRAGANA RAKIĆ,134
ANA BRNABIĆ,44
ĐORĐE KOMLENSKI,1368
ANA BRNABIĆ,114
BRANKO PAVLOVIĆ,344
ANA BRNABIĆ,53
MILENKO JOVANOV,1978
ANA BRNABIĆ,44
BORIS BAJIĆ,58
DRAGANA RAKIĆ,48
ANA BRNABIĆ,174
BORIS BAJIĆ,1148
ANA BRNABIĆ,43
JORGOVANKA TABAKOVIĆ,2914
ANA BRNABIĆ,46
ALEKSANDAR MARTINOVIĆ,8381
SRĐAN MILIVOJEVIĆ,33
ALEKSANDAR MARTINOVIĆ,139
SRĐAN MILIVOJEVIĆ,7
ALEKSANDAR MARTINOVIĆ,1849
ANA BRNABIĆ,164
DRAGANA RAKIĆ,819
ANA BRNABIĆ,415
